01.01.2009|15674|172363|11898110|226|13480|80501|58
02.01.2009|18677|212473|12110583|240|15988|87136|93
03.01.2009|19386|245126|12355709|235|16735|84501|72
04.01.2009|15546|225836|12581545|245|13317|60346|70
05.01.2009|16980|218985|12800530|198|14335|58826|88
06.01.2009|16854|202740|13003270|226|14388|64425|87
07.01.2009|17031|172001|13175271|238|14250|66433|87
08.01.2009|17494|155400|13330671|241|14671|71160|85
09.01.2009|18825|177751|13508422|309|15576|84695|74
10.01.2009|18995|189426|13697848|301|15765|86962|99
11.01.2009|19453|172971|13870819|270|16335|93538|96
12.01.2009|19386|178614|14049433|240|15995|86573|86
13.01.2009|18941|157408|14206841|226|15783|77273|79
14.01.2009|20203|185259|14392100|273|16809|88832|76
15.01.2009|20201|190646|14582746|264|17079|86703|82
16.01.2009|20345|187234|14769980|248|17147|88656|101
17.01.2009|20598|184990|14954970|234|17876|94292|81
18.01.2009|21102|190515|15145485|214|18078|96125|95
19.01.2009|20351|176411|15321896|283|17017|87273|98
20.01.2009|20003|161296|15483192|218|16703|76303|95
21.01.2009|17970|161818|15645010|254|15152|67982|109
22.01.2009|19663|185887|15830897|277|16774|87027|79
23.01.2009|20071|185281|16016178|231|17235|95019|100
24.01.2009|20092|192655|16208833|277|17203|97395|85
25.01.2009|19679|205663|16414496|285|17046|98532|83
26.01.2009|20196|225188|16639684|330|17161|98667|105
27.01.2009|20097|193673|16833357|245|17019|87872|112
28.01.2009|19881|176901|17010258|251|16922|85719|98
29.01.2009|18640|177806|17188064|230|15992|82186|92
30.01.2009|20104|163495|17351559|225|16859|83044|95
31.01.2009|20817|174879|17526438|255|17916|88374|80
