01.03.2017|1|75|62165|0|0|1|0
02.03.2017|1|106|62271|1|0|2|0
05.03.2017|1|38|62309|0|0|12|0
06.03.2017|1|63|62372|1|0|15|0
07.03.2017|1|199|62571|0|0|1|0
08.03.2017|1|67|62638|0|0|4|0
09.03.2017|1|15|62653|0|0|2|0
10.03.2017|1|99|62752|0|0|2|0
11.03.2017|1|37|62789|1|0|1|0
12.03.2017|1|2|62791|1|0|0|0
13.03.2017|1|51|62842|1|0|1|0
14.03.2017|1|30|62872|1|0|0|0
15.03.2017|1|38|62910|0|0|7|0
16.03.2017|1|144|63054|0|0|25|0
17.03.2017|1|23|63077|0|0|1|0
18.03.2017|1|38|63115|1|0|0|0
19.03.2017|1|57|63172|0|0|8|0
20.03.2017|1|174|63346|0|0|3|0
21.03.2017|1|134|63480|1|0|0|0
22.03.2017|1|198|63678|1|0|0|0
23.03.2017|1|164|63842|0|0|3|0
24.03.2017|1|593|64435|1|0|3|0
25.03.2017|1|2|64437|1|0|0|0
27.03.2017|1|330|64767|1|0|0|0
28.03.2017|1|86|64853|1|0|4|0
29.03.2017|1|28|64881|1|0|0|0
30.03.2017|1|261|65142|1|0|0|0
31.03.2017|1|137|65279|1|0|1|0
