01.06.2009|10553|575686|12817213|252|8058|530660|87
02.06.2009|10782|173602|12990815|236|8313|113526|87
03.06.2009|10590|87614|13078429|251|8105|26408|90
04.06.2009|10754|91729|13170158|273|7984|29495|108
05.06.2009|11669|108845|13279003|224|7356|27214|73
06.06.2009|8497|247729|247729|335|6074|16620|57
07.06.2009|10912|105625|353354|271|8172|20671|53
08.06.2009|11885|108889|462243|270|9072|23128|41
09.06.2009|11472|109637|571880|289|8367|24745|60
10.06.2009|10718|95677|667557|256|7942|24449|67
11.06.2009|10050|94384|761941|276|7461|24516|60
12.06.2009|9136|89528|851469|262|6594|23255|60
13.06.2009|9770|90846|942315|298|7693|26503|78
14.06.2009|10587|132846|1075161|273|8021|84521|79
15.06.2009|11664|86383|1161544|269|9332|39062|80
16.06.2009|10521|76840|1238384|266|8379|26437|67
17.06.2009|11882|86801|1325185|254|9684|32064|77
18.06.2009|11181|95815|1421000|254|9071|26996|75
19.06.2009|10513|83951|1504951|259|8345|29638|70
20.06.2009|9470|68175|1573126|267|7347|25011|69
21.06.2009|10048|83151|1656277|271|7725|26299|66
22.06.2009|10458|78404|1734681|254|8170|24879|77
23.06.2009|9058|72261|1806942|268|7019|22387|79
24.06.2009|11033|80702|1887644|273|8919|28829|73
25.06.2009|10601|92018|1979662|295|8449|31596|80
26.06.2009|9749|160919|2140581|274|7612|107787|72
27.06.2009|7540|65288|2205869|252|5957|20455|52
28.06.2009|7718|60595|2266464|306|6012|18818|68
29.06.2009|9298|89057|2355521|292|7278|21964|84
30.06.2009|8801|83930|2439451|313|6804|20809|95
